iter	Passed	Remaining
770	3121	927
771	3125	922
772	3128	918
773	3132	914
774	3135	910
775	3139	906
776	3143	902
777	3146	897
778	3150	893
779	3153	889
780	3157	885
781	3160	881
782	3164	876
783	3167	872
784	3171	868
785	3174	864
786	3177	860
787	3181	855
788	3184	851
789	3187	847
790	3191	843
791	3194	838
792	3198	834
793	3201	830
794	3205	826
795	3208	822
796	3211	818
797	3215	813
798	3219	809
799	3223	805
800	3226	801
801	3229	797
802	3232	793
803	3236	788
804	3239	784
805	3243	780
806	3246	776
807	3249	772
808	3253	768
809	3256	763
810	3260	759
811	3263	755
812	3267	751
813	3270	747
814	3274	743
815	3277	739
816	3281	734
817	3284	730
818	3288	726
819	3291	722
820	3295	718
821	3298	714
822	3302	710
823	3305	706
824	3308	701
825	3312	697
826	3315	693
827	3319	689
828	3322	685
829	3325	681
830	3329	677
831	3332	672
832	3335	668
833	3339	664
834	3342	660
835	3346	656
836	3350	652
837	3353	648
838	3356	644
839	3360	640
840	3364	636
841	3368	632
842	3371	627
843	3374	623
844	3378	619
845	3382	615
846	3385	611
847	3388	607
848	3392	603
849	3395	599
850	3398	595
851	3402	590
852	3405	586
853	3408	582
854	3412	578
855	3415	574
856	3418	570
857	3422	566
858	3425	562
859	3429	558
860	3433	554
861	3437	550
862	3440	546
863	3444	542
864	3447	538
865	3451	533
866	3454	529
867	3457	525
868	3460	521
869	3464	517
870	3467	513
871	3471	509
872	3474	505
873	3478	501
874	3482	497
875	3485	493
876	3488	489
877	3492	485
878	3495	481
879	3499	477
880	3502	473
881	3505	469
882	3508	464
883	3512	460
884	3515	456
885	3519	452
886	3522	448
887	3525	444
888	3529	440
889	3532	436
890	3536	432
891	3539	428
892	3542	424
893	3546	420
894	3549	416
895	3552	412
896	3556	408
897	3559	404
898	3563	400
899	3567	396
900	3570	392
901	3574	388
902	3577	384
903	3581	380
904	3584	376
905	3587	372
906	3591	368
907	3594	364
908	3598	360
909	3602	356
910	3606	352
911	3609	348
912	3613	344
913	3616	340
914	3619	336
915	3622	332
916	3626	328
917	3629	324
918	3633	320
919	3636	316
920	3640	312
921	3643	308
922	3647	304
923	3650	300
924	3654	296
925	3658	292
926	3661	288
927	3664	284
928	3668	280
929	3671	276
930	3674	272
931	3677	268
932	3681	264
933	3684	260
934	3687	256
935	3691	252
936	3694	248
937	3697	244
938	3700	240
939	3704	236
940	3707	232
941	3711	228
942	3714	224
943	3718	220
944	3721	216
945	3725	212
946	3728	208
947	3731	204
948	3735	200
949	3738	196
950	3742	192
951	3745	188
952	3749	184
953	3752	180
954	3756	177
955	3760	173
956	3763	169
957	3767	165
958	3771	161
959	3774	157
960	3777	153
961	3781	149
962	3785	145
963	3788	141
964	3791	137
965	3795	133
966	3798	129
967	3802	125
968	3805	121
969	3808	117
970	3812	113
971	3815	109
972	3818	105
973	3822	102
974	3825	98
975	3828	94
976	3832	90
977	3835	86
978	3839	82
979	3842	78
980	3845	74
981	3849	70
982	3852	66
983	3855	62
984	3859	58
985	3862	54
986	3866	50
987	3870	47
988	3873	43
989	3876	39
990	3880	35
991	3883	31
992	3887	27
993	3891	23
994	3894	19
995	3898	15
996	3902	11
997	3905	7
998	3909	3
999	3913	0
932	0
